Image,Prediction,Confidence,Processing_Time,Stage1_Decision,System_Version
gaussian_test_001.png,gaussian,0.624928373871458,0.589206,,final_v1.0
gaussian_test_002.png,striping,0.5501019161207514,0.558608,gaussian,final_v1.0
gaussian_test_003.png,gaussian,0.685049116882834,0.527219,,final_v1.0
gaussian_test_004.png,gaussian,0.8862171751835647,0.514847,,final_v1.0
gaussian_test_005.png,gaussian,0.9913337067894965,0.460501,,final_v1.0
gaussian_test_006.png,gaussian,0.9901169624911684,0.52434,,final_v1.0
gaussian_test_007.png,gaussian,0.7905555476212628,0.526945,,final_v1.0
gaussian_test_008.png,gaussian,0.6816443663273504,0.589426,,final_v1.0
gaussian_test_009.png,speckle,0.5541754301069355,0.503554,,final_v1.0
gaussian_test_010.png,gaussian,0.7691407035271127,0.660602,,final_v1.0
gaussian_test_011.png,gaussian,0.8795984466149896,0.499198,,final_v1.0
gaussian_test_012.png,striping,0.524727543175656,0.648836,gaussian,final_v1.0
gaussian_test_013.png,gaussian,0.6663779067590361,0.541946,,final_v1.0
gaussian_test_014.png,gaussian,0.9135953718870142,0.553406,,final_v1.0
gaussian_test_015.png,gaussian,0.6152580354589421,0.508121,,final_v1.0
gaussian_test_016.png,gaussian,0.7480929955593961,0.536367,,final_v1.0
gaussian_test_017.png,gaussian,0.7744084077361989,0.521822,,final_v1.0
gaussian_test_018.png,salt_pepper,0.95,0.0,salt_pepper,final_v1.0
gaussian_test_019.png,speckle,0.7137108524568361,0.536672,,final_v1.0
gaussian_test_020.png,gaussian,0.784687387728714,0.540716,,final_v1.0
gaussian_test_021.png,gaussian,0.882947877295087,0.540504,,final_v1.0
gaussian_test_022.png,striping,0.5417331158754747,0.526068,,final_v1.0
gaussian_test_023.png,gaussian,0.6953508399355213,0.594818,,final_v1.0
gaussian_test_024.png,gaussian,0.866482914908858,0.549217,,final_v1.0
gaussian_test_025.png,gaussian,0.7397697342440649,0.47746,gaussian,final_v1.0
gaussian_test_026.png,gaussian,0.9984869660368072,0.694631,,final_v1.0
gaussian_test_027.png,gaussian,0.7657790861356936,0.570494,,final_v1.0
gaussian_test_028.png,salt_pepper,0.95,0.001002,salt_pepper,final_v1.0
gaussian_test_029.png,speckle,0.6755692597105543,0.579877,,final_v1.0
gaussian_test_030.png,gaussian,0.7300272414472894,0.527512,,final_v1.0
gaussian_test_031.png,gaussian,0.8591015325171962,0.511031,,final_v1.0
gaussian_test_032.png,gaussian,0.8329492042404053,0.514224,gaussian,final_v1.0
gaussian_test_033.png,gaussian,0.695340398738584,0.556104,,final_v1.0
gaussian_test_034.png,gaussian,0.8894061549835767,0.541649,,final_v1.0
gaussian_test_035.png,gaussian,0.9720894672775162,0.523147,,final_v1.0
gaussian_test_036.png,gaussian,0.6928233787002405,0.494812,,final_v1.0
gaussian_test_037.png,gaussian,0.7178096813413907,0.509269,,final_v1.0
gaussian_test_038.png,gaussian,0.6460413153040454,0.551794,,final_v1.0
gaussian_test_039.png,gaussian,0.7335832850800976,0.540369,gaussian,final_v1.0
gaussian_test_040.png,gaussian,0.7823493330189459,0.600154,,final_v1.0
