Image,Prediction,Confidence,Processing_Time,Stage1_Decision,System_Version
speckle_test_001.png,speckle,0.7607264306118252,0.469377,speckle,final_v1.0
speckle_test_002.png,salt_pepper,0.95,0.001002,salt_pepper,final_v1.0
speckle_test_003.png,salt_pepper,0.95,0.0,salt_pepper,final_v1.0
speckle_test_004.png,salt_pepper,0.95,0.0,salt_pepper,final_v1.0
speckle_test_005.png,speckle,0.8860361517777745,0.464887,,final_v1.0
speckle_test_006.png,speckle,0.9739056107207731,0.529352,speckle,final_v1.0
speckle_test_007.png,speckle,0.9970377106732335,0.442568,,final_v1.0
speckle_test_008.png,speckle,0.7521390621570105,0.333277,speckle,final_v1.0
speckle_test_009.png,speckle,0.8757015915773041,0.359735,speckle,final_v1.0
speckle_test_010.png,salt_pepper,0.95,0.0,salt_pepper,final_v1.0
speckle_test_011.png,salt_pepper,0.95,0.000518,salt_pepper,final_v1.0
speckle_test_012.png,speckle,0.7384526334378468,0.310632,,final_v1.0
speckle_test_013.png,speckle,0.9245247654461367,0.369414,,final_v1.0
speckle_test_014.png,salt_pepper,0.95,0.001013,salt_pepper,final_v1.0
speckle_test_015.png,speckle,0.4938936509732354,0.368825,,final_v1.0
speckle_test_016.png,speckle,0.9692212119067614,0.737626,speckle,final_v1.0
speckle_test_017.png,speckle,0.9878372379016307,0.584269,,final_v1.0
speckle_test_018.png,salt_pepper,0.95,0.000527,salt_pepper,final_v1.0
speckle_test_019.png,speckle,0.8373684536338118,0.497719,speckle,final_v1.0
speckle_test_020.png,speckle,0.9905524269985904,0.49143,,final_v1.0
speckle_test_021.png,salt_pepper,0.95,0.001001,salt_pepper,final_v1.0
speckle_test_022.png,speckle,0.5716976651124679,0.608531,,final_v1.0
speckle_test_023.png,speckle,0.9056157771664071,0.50797,,final_v1.0
speckle_test_024.png,salt_pepper,0.95,0.000996,salt_pepper,final_v1.0
speckle_test_025.png,speckle,0.8698964479242557,0.417207,,final_v1.0
speckle_test_026.png,speckle,0.9355000282080476,0.482746,speckle,final_v1.0
speckle_test_027.png,speckle,0.9478855255044973,0.376717,,final_v1.0
speckle_test_028.png,speckle,0.983521529046208,0.447017,speckle,final_v1.0
speckle_test_029.png,speckle,0.7574866853811846,0.365626,speckle,final_v1.0
speckle_test_030.png,speckle,0.9884084601897573,0.426831,,final_v1.0
speckle_test_031.png,salt_pepper,0.95,0.0,salt_pepper,final_v1.0
speckle_test_032.png,salt_pepper,0.95,0.0,salt_pepper,final_v1.0
speckle_test_033.png,speckle,0.8095836083738739,0.343699,,final_v1.0
speckle_test_034.png,salt_pepper,0.95,0.001002,salt_pepper,final_v1.0
speckle_test_035.png,speckle,0.8235336751933211,0.375322,,final_v1.0
speckle_test_036.png,speckle,0.8404720232761289,0.350414,speckle,final_v1.0
speckle_test_037.png,speckle,0.8486951498267576,0.400052,gaussian,final_v1.0
speckle_test_038.png,speckle,0.9830164006551774,0.36406,speckle,final_v1.0
speckle_test_039.png,salt_pepper,0.95,0.0,salt_pepper,final_v1.0
speckle_test_040.png,speckle,0.9591960826885491,0.28636,,final_v1.0
