Image,Prediction,Confidence,Processing_Time,Feature_Time,Stage1_Decision,Stage1_Confidence,Stage1_Method,Mean_Intensity,Std_Intensity,System_Version
gaussian_test_001.png,striping,0.605676040159454,0.506946,0.32909,,0.0,unknown,137.0069580078125,51.6550384142565,optimized_ultra_final_v2.0_fast
gaussian_test_002.png,gaussian,0.762870790549306,0.456376,0.285136,,0.0,unknown,107.83111572265625,34.12093942009012,optimized_ultra_final_v2.0_fast
gaussian_test_003.png,gaussian,0.3648372613894859,0.463586,0.297511,,0.0,unknown,130.54339599609375,93.50506843919624,optimized_ultra_final_v2.0_fast
gaussian_test_004.png,gaussian,0.7025933543325721,0.421697,0.260336,,0.0,unknown,137.608154296875,58.65676317463,optimized_ultra_final_v2.0_fast
gaussian_test_005.png,gaussian,0.8885602535892544,0.402646,0.224075,,0.0,unknown,129.477294921875,8.03146109322129,optimized_ultra_final_v2.0_fast
gaussian_test_006.png,gaussian,0.9343830056752546,0.564906,0.340299,,0.0,unknown,190.6141357421875,14.986547039694644,optimized_ultra_final_v2.0_fast
gaussian_test_007.png,gaussian,0.6588216319598958,0.393795,0.232438,,0.0,unknown,128.46942138671875,75.72469566593458,optimized_ultra_final_v2.0_fast
gaussian_test_008.png,gaussian,0.3491513744796045,0.365123,0.217416,,0.0,unknown,130.02374267578125,95.95409814304703,optimized_ultra_final_v2.0_fast
gaussian_test_009.png,gaussian,0.9689232012646208,0.335606,0.21404,,0.0,unknown,109.0982666015625,23.46254103792399,optimized_ultra_final_v2.0_fast
gaussian_test_010.png,gaussian,0.675396724706231,0.381434,0.228253,,0.0,unknown,125.42864990234375,75.0166024070847,optimized_ultra_final_v2.0_fast
gaussian_test_011.png,gaussian,0.5667112615669924,0.3683,0.223711,,0.0,unknown,136.94915771484375,58.424932142226396,optimized_ultra_final_v2.0_fast
gaussian_test_012.png,gaussian,0.8438173470249327,0.349977,0.213543,,0.0,unknown,109.75140380859375,33.07325932907826,optimized_ultra_final_v2.0_fast
gaussian_test_013.png,gaussian,0.35046000394801125,0.364163,0.223977,,0.0,unknown,129.42401123046875,93.67716161126384,optimized_ultra_final_v2.0_fast
gaussian_test_014.png,gaussian,0.8513729332842619,0.368148,0.216045,,0.0,unknown,139.7491455078125,56.643383008303026,optimized_ultra_final_v2.0_fast
gaussian_test_015.png,striping,0.571322112215546,0.351547,0.231748,,0.0,unknown,127.52203369140625,4.999182341819061,optimized_ultra_final_v2.0_fast
gaussian_test_016.png,gaussian,0.9487672117220788,0.382088,0.22588,,0.0,unknown,191.47088623046875,11.987669936790205,optimized_ultra_final_v2.0_fast
gaussian_test_017.png,gaussian,0.6862711869416682,0.384914,0.229727,,0.0,unknown,125.813720703125,75.03294177096355,optimized_ultra_final_v2.0_fast
gaussian_test_018.png,gaussian,0.28576634494084285,0.425734,0.27669,,0.0,unknown,129.4334716796875,95.58107379462001,optimized_ultra_final_v2.0_fast
gaussian_test_019.png,gaussian,0.9807454081680064,0.365776,0.222345,,0.0,unknown,111.0562744140625,21.659011980863692,optimized_ultra_final_v2.0_fast
